Source,Target,Weight
Jim Norton,Del Henney,7.4
Jim Norton,Ken Hutchison,7.4
Jim Norton,David Warner,7.4
Jim Norton,Susan George,7.4
Jim Norton,Dustin Hoffman,7.4
Jim Norton,T. P. McKenna,7.4
Jim Norton,Sally Thomsett,7.4
Jim Norton,Peter Vaughan,7.4
Del Henney,Ken Hutchison,7.4
Del Henney,David Warner,7.4
Del Henney,Susan George,7.4
Del Henney,Dustin Hoffman,7.4
Del Henney,T. P. McKenna,7.4
Del Henney,Sally Thomsett,7.4
Del Henney,Peter Vaughan,7.4
Ken Hutchison,David Warner,7.4
Ken Hutchison,Susan George,7.4
Ken Hutchison,Dustin Hoffman,7.4
Ken Hutchison,T. P. McKenna,7.4
Ken Hutchison,Sally Thomsett,7.4
Ken Hutchison,Peter Vaughan,7.4
David Warner,Susan George,7.4
David Warner,Dustin Hoffman,7.4
David Warner,T. P. McKenna,7.4
David Warner,Sally Thomsett,7.4
David Warner,Peter Vaughan,7.4
David Warner,Mary Steenburgen,7.1
David Warner,Kurtwood Smith,7.2
David Warner,Michael Caine,7.1
David Warner,John Glover,7.1
David Warner,Sam Neill,7.1
David Warner,Michael Dorn,7.2
David Warner,Kim Cattrall,7.2
David Warner,Jürgen Prochnow,7.1
David Warner,Kent Williams,7.1
David Warner,Julie Carmen,7.1
David Warner,Malcolm McDowell,7.1
David Warner,Nichelle Nichols,7.2
David Warner,George Takei,7.2
David Warner,Walter Koenig,7.2
David Warner,Leonard Nimoy,7.2
David Warner,James Doohan,7.2
David Warner,William Shatner,7.2
David Warner,DeForest Kelley,7.2
David Warner,Robert Easton,7.2
David Warner,Iman Abdulmajid,7.2
David Warner,Christopher Plummer,7.2
David Warner,Rosanna DeSoto,7.2
David Warner,Don Henderson,7.1
David Warner,Zakes Mokae,7.1
David Warner,Dudley Sutton,7.1
David Warner,Frank Middlemass,7.1
David Warner,Angela Punch McGregor,7.1
David Warner,Brad Sullivan,7.1
David Warner,Colin Jeavons,7.1
David Warner,Frances Bay,7.1
David Warner,Peter Jason,7.1
David Warner,Corey Feldman,7.1
David Warner,Charles Cioffi,7.1
David Warner,Laurie Main,7.1
David Warner,Patti D'Arbanville,7.1
David Warner,Charlton Heston,7.1
David Warner,Hayden Christensen,7.1
David Warner,Bernie Casey,7.1
David Warner,Wilhelm Von Homburg,7.1
Susan George,Dustin Hoffman,7.4
Susan George,T. P. McKenna,7.4
Susan George,Sally Thomsett,7.4
Susan George,Peter Vaughan,7.4
Dustin Hoffman,T. P. McKenna,7.4
Dustin Hoffman,Sally Thomsett,7.4
Dustin Hoffman,Peter Vaughan,7.4
Dustin Hoffman,John Hurt,7.5
Dustin Hoffman,John Slattery,7.5
Dustin Hoffman,Kevin Spacey,6.6
Dustin Hoffman,Cliff Curtis,7.1
Dustin Hoffman,Andy García,13.1
Dustin Hoffman,Leland Orser,6.6
Dustin Hoffman,Stanley Anderson,7.1
Dustin Hoffman,Donald Sutherland,6.6
Dustin Hoffman,Kevin Bacon,7.5
Dustin Hoffman,Brad Pitt,7.5
Dustin Hoffman,Robert Forster,6.6
Dustin Hoffman,Robert De Niro,7.5
Dustin Hoffman,Tommy 'Tiny' Lister,6.6
Dustin Hoffman,Gene Hackman,7.1
Dustin Hoffman,Alan Rickman,7.5
Dustin Hoffman,William Devane,7.4
Dustin Hoffman,Minnie Driver,7.5
Dustin Hoffman,John Cusack,7.1
Dustin Hoffman,Joan Cusack,6.5
Dustin Hoffman,Jeremy Piven,7.1
Dustin Hoffman,Jason Patric,7.5
Dustin Hoffman,Hal Holbrook,7.9
Dustin Hoffman,Terry Kinney,7.5
Dustin Hoffman,Morris Chestnut,6.6
Dustin Hoffman,F. Murray Abraham,7.9
Dustin Hoffman,Anthony Zerbe,8.0
Dustin Hoffman,Billy Crudup,7.5
Dustin Hoffman,Stephen Tobolowsky,6.5
Dustin Hoffman,Bruce McGill,7.1
