Source,Target,Weight
Brian O'Shaughnessy,Ken Gampu,7.3
Brian O'Shaughnessy,Jamie Uys,7.3
Brian O'Shaughnessy,Sandra Prinsloo,7.3
Brian O'Shaughnessy,Marius Weyers,7.3
Brian O'Shaughnessy,N!xau,7.3
Ken Gampu,Jamie Uys,7.3
Ken Gampu,Sandra Prinsloo,7.3
Ken Gampu,Marius Weyers,7.3
Ken Gampu,N!xau,7.3
Jamie Uys,Sandra Prinsloo,7.3
Jamie Uys,Marius Weyers,7.3
Jamie Uys,N!xau,7.3
Sandra Prinsloo,Marius Weyers,7.3
Sandra Prinsloo,N!xau,7.3
Marius Weyers,N!xau,7.3
Srđan Todorović,Branka Katić,8.0
Srđan Todorović,Bora Todorović,8.1
Srđan Todorović,Lazar Ristovski,8.1
Srđan Todorović,Mirjana Joković,8.1
Srđan Todorović,Slavko Štimac,8.1
Srđan Todorović,Miki Manojlović,8.1
Srđan Todorović,Ernst Stotzner,8.1
Srđan Todorović,Mirjana Karanović,8.1
Srđan Todorović,Danilo Bata Stojković,8.1
Rammellzee,Tom DiCillo,7.4
Rammellzee,Richard Edson,7.4
Rammellzee,John Lurie,7.4
Rammellzee,Eszter Balint,7.4
Rammellzee,Sara Driver,7.4
Tom DiCillo,Richard Edson,7.4
Tom DiCillo,John Lurie,7.4
Tom DiCillo,Eszter Balint,7.4
Tom DiCillo,Sara Driver,7.4
Richard Edson,John Lurie,7.4
Richard Edson,Eszter Balint,7.4
Richard Edson,Sara Driver,7.4
Richard Edson,Jeffrey Jones,7.8
Richard Edson,Kym Whitley,7.4
Richard Edson,J. T. Walsh,7.3
Richard Edson,Ben Stein,7.8
Richard Edson,Robert Wuhl,7.3
Richard Edson,Richard Portnow,7.3
Richard Edson,Robin Williams,7.3
Richard Edson,Charlie Sheen,7.8
Richard Edson,Cynthia Nixon,6.8
Richard Edson,Richard Dreyfuss,6.8
Richard Edson,Forest Whitaker,7.3
Richard Edson,Nicole Ari Parker,7.4
Richard Edson,Jennifer Tilly,6.8
Richard Edson,Teri Garr,6.8
Richard Edson,Arsenio Hall,7.4
