Id,Label,timeset,modularity_class
Frank Krog,,,0
Kristin Kajander,,,0
Vidar Sandem,,,0
Anne Krigsvoll,,,0
Gudrun Landgrebe,,,1
Mathieu Carrière,,,1
Hanns Zischler,,,1
Juzo Itami,,,2
Meiko Kaji,,,2
Yoshio Harada,,,2
Kazuko Yoshiyuki,,,2
Shin Kishida,,,2
John Cusack,,,3
Amanda Peet,,,3
Chiwetel Ejiofor,,,3
Thandie Newton,,,3
Oliver Platt,,,3
Thomas McCarthy,,,3
Woody Harrelson,,,3
Danny Glover,,,3
George Segal,,,3
Morgan Lily,,,3
Liam James,,,3
Zlatko Buric,,,3
Beatrice Rosen,,,3
Johann Urb,,,3
Patrick Bauchau,,,3
John Billingsley,,,3
Jimi Mistry,,,3
Stephen McHattie,,,3
Chin Han,,,20
Yangzom Brauen,,,3
Ric Govea,,,3
Brendan Gleeson,,,6
Tom Cruise,,,20
Anthony Hopkins,,,20
Dougray Scott,,,20
Ving Rhames,,,20
Richard Roxburgh,,,20
John Polson,,,20
Rade Serbedzija,,,20
William Mapother,,,20
Dominic Purcell,,,20
Mathew Wilkinson,,,20
Christian Manon,,,20
Nicholas Bell,,,20
Elizabeth Banks,,,16
Toby Jones,,,6
Jennifer Lawrence,,,3
Josh Hutcherson,,,3
Liam Hemsworth,,,3
Isabelle Fuhrman,,,3
Stanley Tucci,,,3
Willow Shields,,,3
Donald Sutherland,,,3
Alexander Ludwig,,,3
Lenny Kravitz,,,3
Wes Bentley,,,3
Amandla Stenberg,,,3
Leven Rambin,,,3
Jack Quaid,,,3
Paula Malcomson,,,3
Phillip Troy Linger,,,3
Eric Hennig,,,3
Gary Oldman,,,6
Christian Bale,,,20
Morgan Freeman,,,20
Michael Caine,,,20
Nestor Carbonell,,,20
Patrick Leahy,,,20
Aaron Eckhart,,,20
Heath Ledger,,,20
Maggie Gyllenhaal,,,20
Monique Gabriela Curnen,,,20
Cillian Murphy,,,20
Eric Roberts,,,20
Ritchie Coster,,,20
Anthony Michael Hall,,,20
Keith Szarabajka,,,20
Colin McFarlane,,,20
Joshua Harto,,,20
Melinda McGraw,,,20
Nathan Gamble,,,20
Michael Jai White,,,20
William Fichtner,,,20
Edison Chen,,,20
Will Smith,,,23
Atticus Shaffer,,,19
Daeg Faerch,,,19
Charlize Theron,,,19
Jason Bateman,,,19
Eddie Marsan,,,19
Hayley Marie Norman,,,19
Maetrix Fitten,,,19
Johnny Galecki,,,19
Thomas Lennon,,,19
Jae Head,,,19
David Mattey,,,19
Mike Epps,,,19
Akiva Goldsman,,,19
Michael Mann,,,19
Brad Leland,,,19
Robert Downey Jr.,,,5
Don Cheadle,,,5
Scarlett Johansson,,,5
Gwyneth Paltrow,,,5
Sam Rockwell,,,5
Mickey Rourke,,,5
Samuel L. Jackson,,,5
Clark Gregg,,,5
John Slattery,,,5
Jon Favreau,,,5
Paul Bettany,,,5
Kate Mara,,,5
Leslie Bibb,,,5
Garry Shandling,,,5
Christiane Amanpour,,,5
Tim Guinee,,,5
Eric L. Haney,,,5
Stan Lee,,,16
Helena Mattsson,,,5
Anya Monzikova,,,5
Olivia Munn,,,5
Elon Musk,,,5
Stellan Skarsgård,,,5
James Fox,,,7
Geraldine James,,,7
Rachel McAdams,,,7
Jude Law,,,7
Mark Strong,,,7
Kelly Reilly,,,7
William Hope,,,7
Hans Matheson,,,7
William Houston,,,7
Bill Smitrovich,,,23
Terrence Howard,,,5
Jeff Bridges,,,5
Shaun Toub,,,5
Faran Tahir,,,5
Will Lyman,,,5
Nazanin Boniadi,,,5
James Cramer,,,5
Chris Evans,,,5
Mark Ruffalo,,,5
Chris Hemsworth,,,5
Jeremy Renner,,,5
Tom Hiddleston,,,5
Cobie Smulders,,,5
Alexis Denisof,,,5
Jerzy Skolimowski,,,5
M'laah Kaur Singh,,,5
Jenny Agutter,,,5
Maximiliano Hernández,,,5
Lou Ferrigno,,,5
John Ratzenberger,,,8
Craig T. Nelson,,,5
Holly Hunter,,,5
Jason Lee,,,5
Wallace Shawn,,,8
Spencer Fox,,,5
Lou Romano,,,5
Sarah Vowell,,,5
Elizabeth Peña,,,5
Bud Luckey,,,5
Brad Bird,,,5
Wayne Knight,,,23
Richard Attenborough,,,23
Jeff Goldblum,,,23
Joseph Mazzello,,,23
Ariana Richards,,,23
Cameron Thor,,,23
Sam Neill,,,23
Laura Dern,,,23
Bob Peck,,,23
Martin Ferrero,,,23
B.D. Wong,,,23
Miguel Sandoval,,,23
Whitby Hertford,,,23
Willem Dafoe,,,16
Michael Papajohn,,,16
Tobey Maguire,,,16
Kirsten Dunst,,,16
James Franco,,,16
Thomas Haden Church,,,16
Topher Grace,,,16
Bryce Dallas Howard,,,16
Rosemary Harris,,,16
J. K. Simmons,,,16
James Cromwell,,,16
Theresa Russell,,,16
Dylan Baker,,,16
Bill Nunn,,,16
Bruce Campbell,,,16
Ted Raimi,,,16
Perla Haney-Jardine,,,16
Cliff Robertson,,,16
Lucy Gordon,,,16
Joe Manganiello,,,16
Joel McHale,,,16
Gerry Becker,,,16
Jack Betts,,,16
Stanley Anderson,,,16
K. K. Dodds,,,16
Randy Savage,,,16
Lucy Lawless,,,16
Alfred Molina,,,16
Donna Murphy,,,16
Daniel Gillies,,,16
Vanessa Ferlito,,,16
Aasif Mandvi,,,16
Emily Deschanel,,,16
Brianna Brown,,,16
Joy Bryant,,,16
Bonnie Somerville,,,16
Daniel Dae Kim,,,16
David Bradley,,,6
Daniel Radcliffe,,,6
Michael Gambon,,,6
Dave Legeno,,,6
Jim Broadbent,,,6
Bonnie Wright,,,6
Julie Walters,,,6
Rupert Grint,,,6
Emma Watson,,,6
Helena Bonham Carter,,,7
Helen McCrory,,,6
Timothy Spall,,,7
Alan Rickman,,,6
Oliver Phelps,,,6
James Phelps,,,6
