Id,Label,timeset,modularity_class
Jessie Cave,,,6
Tom Felton,,,6
Evanna Lynch,,,6
Jamie Waylett,,,6
Joshua Herdman,,,6
Robbie Coltrane,,,6
Warwick Davis,,,6
Matthew David Lewis,,,6
Devon Murray,,,6
Rob Knox,,,6
Maggie Smith,,,6
Hero Fiennes-Tiffin,,,6
David Thewlis,,,6
Natalia Tena,,,6
Mark Williams,,,6
Frank Dillane,,,6
Gemma Jones,,,6
Katie Leung,,,6
Afshan Azad,,,6
Geraldine Somerville,,,6
Freddie Stroma,,,6
Alfred Enoch,,,6
Elarica Gallacher,,,6
Shefali Chowdhury,,,6
Georgina Leonidas,,,6
Anna Shaffer,,,6
Ralph Ineson,,,6
Scarlett Byrne,,,6
Shirley Henderson,,,6
Ralph Fiennes,,,6
Jason Isaacs,,,6
David Tennant,,,6
Clémence Poésy,,,6
Stanislav Ianevski,,,6
Roger Lloyd Pack,,,6
Miranda Richardson,,,6
Jeff Rawle,,,6
Charlotte Skeoch,,,6
Tiana Benjamin,,,6
Predrag Bjelac,,,6
Angelica Mandy,,,6
Adrian Rawlins,,,6
Robert Pattinson,,,6
Eric Sykes,,,6
Robert Hardy,,,6
Frances de la Tour,,,7
Emma Thompson,,,6
Imelda Staunton,,,7
Chris Rankin,,,6
Timothy Bateson,,,6
Robbie Jarvis,,,6
Fiona Shaw,,,6
Richard Griffiths,,,6
Peter Cartwright,,,6
Arben Bajraktaraj,,,6
Harry Melling,,,6
Kathryn Hunter,,,6
Tony Maudsley,,,6
Sian Thomas,,,6
James Payton,,,6
Alec Hopkins,,,6
John Atterbury,,,6
Richard Harris,,,6
Jamie Yeates,,,6
Alfred Burke,,,6
Isabella Columbus,,,6
Brendan Columbus,,,6
Violet Columbus,,,6
Sean Biggerstaff,,,6
Miriam Margolyes,,,6
Hugh Mitchell,,,6
Kenneth Branagh,,,6
Luke Youngblood,,,6
Eleanor Columbus,,,6
John Cleese,,,18
Julian Glover,,,6
Christian Coulson,,,6
Pam Ferris,,,6
Jimmy Gardner,,,6
Paul Whitehouse,,,7
Julie Christie,,,6
Lee Ingleby,,,6
Dawn French,,,6
Annalisa Bugliani,,,6
Lenny Henry,,,6
Jim Tavare,,,6
Shia LaBeouf,,,4
Karen Allen,,,4
Harrison Ford,,,4
Cate Blanchett,,,15
Ray Winstone,,,4
John Hurt,,,4
Igor Jijikine,,,4
Dimitri Diatchenko,,,4
Pavel Lychnikoff,,,4
Andrew Divoff,,,4
Alan Dale,,,4
Ilia Volok,,,4
Colin Firth,,,5
Rachel McDowall,,,5
Ashley Lilley,,,5
Meryl Streep,,,5
Christine Baranski,,,5
Ricardo Montez,,,5
Enzo Squillino Jr.,,,5
Dominic Cooper,,,5
Juan Pablo Di Pace,,,5
Pierce Brosnan,,,5
Amanda Seyfried,,,5
Emrhys Cooper,,,5
Nancy Baldwin,,,5
Kelly Macdonald,,,6
Billy Connolly,,,6
Kevin McKidd,,,6
Craig Ferguson,,,19
Steve Purcell,,,6
Anne Hathaway,,,7
Michael Sheen,,,7
Johnny Depp,,,7
Marton Csokas,,,7
Christopher Lee,,,7
Freddie Highmore,,,7
David Kelly,,,7
Noah Taylor,,,7
Missi Pyle,,,7
Deep Roy,,,7
Adam Godley,,,7
AnnaSophia Robb,,,7
Julia Winter,,,7
Jordan Fry,,,7
Philip Wiegratz,,,7
Liz Smith,,,7
Eileen Essell,,,7
Hubertus Geller,,,7
Franziska Troegner,,,7
Geoffrey Holder,,,7
Mia Wasikowska,,,7
Crispin Glover,,,7
Matt Lucas,,,7
Stephen Fry,,,7
Barbara Windsor,,,7
Michael Gough,,,7
Lindsay Duncan,,,7
Tim Pigott-Smith,,,7
Jim Carter,,,7
Andy Serkis,,,15
Freida Pinto,,,18
John Lithgow,,,18
Brian Cox,,,18
David Oyelowo,,,18
Tyler Labine,,,18
Jamie Harris,,,18
David Hewlett,,,18
Chelah Horsdal,,,18
Richard Ridings,,,18
Erik Per Sullivan,,,8
John Turturro,,,4
Thomas Kretschmann,,,8
Owen Wilson,,,8
Bruce Willis,,,10
Joe Mantegna,,,17
Tony Shalhoub,,,8
Keith David,,,23
Emily Mortimer,,,8
Bonnie Hunt,,,8
Cheech Marin,,,8
Eddie Izzard,,,8
Franco Nero,,,8
Peter Jacobson,,,8
Jenifer Lewis,,,8
Larry the Cable Guy,,,8
Lloyd Sherr,,,8
Guido Quaroni,,,8
Darrell Waltrip,,,8
Jeff Gordon,,,8
Vanessa Redgrave,,,8
Jeff Garlin,,,8
Fernando Alonso,,,8
Liv Tyler,,,15
Billy Bob Thornton,,,23
Michael Clarke Duncan,,,23
Ben Affleck,,,23
Will Patton,,,23
Steve Buscemi,,,8
Peter Stormare,,,23
Ken Hudson Campbell,,,23
Jessica Steen,,,23
Chris Ellis,,,23
Grayson McCouch,,,23
Joseph Gordon-Levitt,,,20
Juno Temple,,,20
Tom Hardy,,,20
Liam Neeson,,,20
Marion Cotillard,,,20
Daniel Sunjata,,,20
Joey King,,,20
Matthew Modine,,,20
Josh Pence,,,20
Josh Stewart,,,20
Matthew Gooley,,,20
Burn Gorman,,,20
Tom Conti,,,20
Aramis Knight,,,20
Vincent van Ommen,,,20
Jillian Armenante,,,20
Brett Cullen,,,20
Christopher Judge,,,20
Kristen Wiig,,,19
Jay Baruchel,,,19
Gerard Butler,,,19
America Ferrera,,,19
Jonah Hill,,,19
Christopher Mintz-Plasse,,,19
T. J. Miller,,,19
Ashley Jensen,,,19
Kristen Stewart,,,9
Taylor Lautner,,,9
Anna Kendrick,,,9
Dakota Fanning,,,9
Kellan Lutz,,,9
Ashley Greene,,,9
Jamie Campbell Bower,,,9
Nikki Reed,,,9
Maggie Grace,,,9
Jackson Rathbone,,,9
Lee Pace,,,9
Peter Facinelli,,,9
Billy Burke,,,9
Elizabeth Reaser,,,9
Christian Serratos,,,9
Sarah Clarke,,,9
Gil Birmingham,,,9
Justin Chon,,,9
Ty Olsson,,,9
Charlie Bewley,,,9
Christian Camargo,,,9
Michael Welch,,,9
Stephenie Meyer,,,9
Daniel Cudmore,,,9
Kimani Ray Smith,,,9
Mackenzie Foy,,,9
Dee Wallace-Stone,,,10
Henry Thomas,,,10
Peter Coyote,,,10
Robert MacNaughton,,,10
Drew Barrymore,,,10
K. C. Martel,,,10
Sean Frye,,,10
C. Thomas Howell,,,10
Erika Eleniak,,,10
Debra Winger,,,10
Michael Durrell,,,10
Pat Welsh,,,10
Denis Leary,,,19
Martin Sheen,,,10
Emma Stone,,,10
Sally Field,,,10
Andrew Garfield,,,10
Embeth Davidtz,,,10
Annie Parisse,,,10
Campbell Scott,,,10
Chris Zylka,,,10
Irrfan Khan,,,10
Barbara Eve Harris,,,10
Leif Gantvoort,,,10
Kelsey Chow,,,10
Rhys Ifans,,,10
Stephen Root,,,8
Vicki Lewis,,,8
Nicholas Bird,,,8
Geoffrey Rush,,,11
Austin Pendleton,,,8
Barry Humphries,,,8
Andrew Stanton,,,8
Albert Brooks,,,17
Bob Peterson,,,8
Eric Bana,,,8
Bruce Spence,,,8
Brad Garrett,,,8
Elizabeth Perkins,,,8
Bill Hunter,,,8
Jordan Ranft,,,8
Allison Janney,,,8
Erica Beck,,,8
Joe Ranft,,,8
Alexander Gould,,,8
Ellen DeGeneres,,,8
Ian McShane,,,18
Danny Le Boyer,,,11
Penélope Cruz,,,11
Kevin McNally,,,11
Sam Claflin,,,11
Astrid Bergès-Frisbey,,,11
Stephen Graham,,,11
Keith Richards,,,11
Greg Ellis,,,11
Óscar Jaenada,,,11
Christopher Fairbank,,,11
Yuki Matsuzaki,,,11
Sebastian Armesto,,,11
Damian O'Hare,,,11
Orlando Bloom,,,15
Keira Knightley,,,11
Jack Davenport,,,11
Bill Nighy,,,11
Jonathan Pryce,,,11
Lee Arenberg,,,11
Mackenzie Crook,,,11
David Bailie,,,11
Tom Hollander,,,11
Naomie Harris,,,11
Martin Klebba,,,11
David Schofield,,,11
Chow Yun-Fat,,,11
Vanessa Branch,,,11
Zoe Saldana,,,13
Lucinda Dryzek,,,11
Trevor Goddard,,,11
Guy Siner,,,11
Treva Etienne,,,11
Angus Barnett,,,11
Jess Harnell,,,4
Tom Hanks,,,8
Will Arnett,,,19
Kristen Schaal,,,8
Paul Eiding,,,8
Pete Docter,,,8
Donald Fullilove,,,8
Danny Mann,,,8
Mickie McGowan,,,8
David Kaye,,,8
Delroy Lindo,,,8
Jordan Nagai,,,8
Christopher Plummer,,,8
Ed Asner,,,8
Ian Holm,,,15
Whoopi Goldberg,,,8
Patton Oswalt,,,8
Brian Dennehy,,,8
Peter Sohn,,,8
Peter O'Toole,,,8
Janeane Garofalo,,,8
James Remar,,,8
Jake Steinfeld,,,8
Michael Keaton,,,8
Tim Allen,,,8
Joan Cusack,,,8
Ned Beatty,,,8
Don Rickles,,,8
Estelle Harris,,,8
John Morris,,,8
Jodi Benson,,,8
Emily Hahn,,,8
Laurie Metcalf,,,8
Blake Clark,,,8
Timothy Dalton,,,8
Jack Angel,,,8
R. Lee Ermey,,,8
Jan Rabson,,,8
Mary Gibbs,,,8
John Goodman,,,8
Billy Crystal,,,8
James Coburn,,,8
Jennifer Tilly,,,8
Frank Oz,,,8
Jeff Pidgeon,,,8
Kay Panabaker,,,8
Russi Taylor,,,17
Julie Kavner,,,17
Dan Castellaneta,,,17
Nancy Cartwright,,,17
Yeardley Smith,,,17
Harry Shearer,,,17
Hank Azaria,,,17
Marcia Wallace,,,17
Tress MacNeille,,,17
Pamela Hayden,,,17
Maggie Roswell,,,17
Karl Wiedergott,,,17
Robin Williams,,,8
Mickey Rooney,,,8
Ben Stiller,,,18
Carla Gugino,,,8
Dick Van Dyke,,,8
Bill Cobbs,,,8
Jake Cherry,,,8
Ricky Gervais,,,8
Kim Raver,,,8
Patrick Gallagher,,,8
Rami Malek,,,8
Pierfrancesco Favino,,,8
Charlie Murphy,,,8
Steve Coogan,,,8
Mizuo Peck,,,8
Matthew Harrison,,,8
Paul Rudd,,,8
Anne Meara,,,8
Matthew Walker,,,8
Pat Kiernan,,,8
Jeffrey Tambor,,,16
Mandy Moore,,,16
Zachary Levi,,,16
Ron Perlman,,,16
M. C. Gainey,,,16
Paul F. Tompkins,,,16
Richard Kiel,,,16
Byron Howard,,,16
Michael Bell,,,16
Bob Bergen,,,16
Hynden Walch,,,16
Jemaine Clement,,,19
Rip Torn,,,23
Tommy Lee Jones,,,23
Bill Hader,,,19
Dash Mihok,,,12
Willow Smith,,,18
Alice Braga,,,12
Salli Richardson,,,12
April Grace,,,12
James Michael McCauley,,,12
Josh Brolin,,,23
Alice Eve,,,23
Nicole Scherzinger,,,23
Michael Stuhlbarg,,,23
Keone Young,,,23
Frances McDormand,,,4
Rosie Huntington-Whiteley,,,4
Tyrese Gibson,,,4
Josh Duhamel,,,4
Hugo Weaving,,,4
Patrick Dempsey,,,4
John Malkovich,,,4
Alan Tudyk,,,4
Leonard Nimoy,,,4
Ken Jeong,,,4
Peter Cullen,,,4
"James L. Avery, Sr.",,,4
Mark Ryan,,,4
Frank Welker,,,4
Lester Speight,,,4
Robert Foxworth,,,4
Charles Adler,,,4
Tom Kenny,,,4
Kevin Dunn,,,4
Julie White,,,4
John DiMaggio,,,4
Michael Dorn,,,4
Megan Fox,,,4
Matthew Marsden,,,4
Ramon Rodriguez,,,4
Tony Todd,,,4
Grey DeLisle,,,4
Kevin Michael Richardson,,,4
Rainn Wilson,,,4
Isabel Lucas,,,4
Reno Wilson,,,4
Bernie Mac,,,4
Rachael Taylor,,,4
Anthony Anderson,,,4
Jon Voight,,,4
Amaury Nolasco,,,4
Zack Ward,,,4
Travis Van Winkle,,,4
Darius McCrary,,,4
Tom Everett,,,4
Odette Annable,,,4
Vin Diesel,,,13
The Rock,,,13
Paul Walker,,,13
Jordana Brewster,,,13
Ludacris,,,13
Matt Schulze,,,13
Sung Kang,,,13
Tego Calderón,,,13
Don Omar,,,13
Joaquim de Almeida,,,13
Elsa Pataky,,,13
Michael Irby,,,13
Alimi Ballard,,,13
Geoff Meed,,,13
Eva Mendes,,,13
TJ Hassan,,,13
Gal Gadot,,,13
Peter Jackson,,,15
Belinda McClory,,,14
Keanu Reeves,,,14
Laurence Fishburne,,,14
Carrie-Anne Moss,,,14
Joe Pantoliano,,,14
Gloria Foster,,,14
Anthony Ray Parker,,,14
Matt Doran,,,14
Marcus Chong,,,14
Paul Goddard,,,14
Julian Arahanga,,,14
Roy Jones Jr.,,,14
Monica Bellucci,,,14
Harold Perrineau Jr.,,,14
Lambert Wilson,,,14
Collin Chou,,,14
Randall Duk Kim,,,14
Anthony Zerbe,,,14
Jada Pinkett Smith,,,14
Anthony Wong,,,14
Cornel West,,,14
Helmut Bakaitis,,,14
Steve Bastoni,,,14
Gina Torres,,,14
Clayton Watson,,,14
Christine Anu,,,14
Adrian Rayment,,,14
Neil Rayment,,,14
Elijah Wood,,,15
Alan Howard,,,15
Sean Astin,,,15
Sala Baker,,,15
Sean Bean,,,15
Billy Boyd,,,15
Lawrence Makoare,,,15
Ian McKellen,,,15
Sarah McLeod,,,15
Dominic Monaghan,,,15
Viggo Mortensen,,,15
Ian Mune,,,15
Craig Parker,,,15
John Rhys-Davies,,,15
David Wenham,,,15
Mark Ferguson,,,15
Michael Elsworth,,,15
Bruce Allpress,,,15
John Bach,,,15
Jed Brophy,,,15
Brad Dourif,,,15
Calum Gittins,,,15
Bernard Hill,,,21
Bruce Hopkins,,,15
John Leigh,,,15
Robbie Magasiva,,,15
Robyn Malcolm,,,15
Miranda Otto,,,15
Olivia Tennet,,,15
Karl Urban,,,15
Stephen Ure,,,15
John Noble,,,15
Julie Andrews,,,18
Steve Carell,,,20
Jason Segel,,,19
Russell Brand,,,19
Miranda Cosgrove,,,19
Jack McBrayer,,,19
Danny McBride,,,19
Mindy Kaling,,,19
Pierre Coffin,,,19
Chris Renaud,,,19
Matt Walsh,,,16
Zach Galifianakis,,,16
Ian Anthony Dale,,,16
Bradley Cooper,,,16
Heather Graham,,,16
Ed Helms,,,16
Justin Bartha,,,16
Mike Tyson,,,16
Sasha Barrese,,,16
Sondra Currie,,,16
Rachael Harris,,,16
Gillian Vigman,,,16
Dan Finnerty,,,16
Carrot Top,,,16
Rob Riggle,,,16
Scott Weinger,,,17
Linda Larkin,,,17
Jonathan Freeman,,,17
Gilbert Gottfried,,,17
Douglas Seale,,,17
Jim Cummings,,,8
Lea Salonga,,,17
Brad Kane,,,17
Bruce Adler,,,17
George Lopez,,,19
Wolfgang Puck,,,19
Neil Patrick Harris,,,19
Jayma Mays,,,19
Jonathan Winters,,,19
Katy Perry,,,19
Alan Cumming,,,19
Paul Reubens,,,19
Kenan Thompson,,,19
B. J. Novak,,,19
Jeff Foxworthy,,,19
Fred Armisen,,,19
Gary Basaraba,,,19
John Oliver,,,19
Sofía Vergara,,,19
Anton Yelchin,,,19
Joan Rivers,,,18
Tim Gunn,,,19
Cody Cameron,,,18
Conrad Vernon,,,18
Chris Miller,,,18
Sacha Baron Cohen,,,18
Chris Rock,,,18
David Schwimmer,,,18
Cedric the Entertainer,,,18
Andy Richter,,,18
Tom McGrath,,,18
Jan Josef Liefers,,,18
Bob Saget,,,18
Pip Mushin,,,15
David Pittu,,,15
Mark Hadlow,,,15
Bill Johnson,,,15
Kyle Chandler,,,15
Craig Hall,,,15
John Sumner,,,15
Jamie Bell,,,15
Evan Parke,,,15
Colin Hanks,,,15
Adrien Brody,,,15
Jack Black,,,15
Naomi Watts,,,15
David Cross,,,23
Seth Rogen,,,18
Angelina Jolie,,,23
Dustin Hoffman,,,8
James Hong,,,23
Jackie Chan,,,23
Lucy Liu,,,23
Dan Fogler,,,23
Mike Myers,,,18
Cameron Diaz,,,18
Eddie Murphy,,,18
Ernie Sabella,,,8
Matthew Broderick,,,8
James Earl Jones,,,8
Jeremy Irons,,,8
Jonathan Taylor Thomas,,,8
Nathan Lane,,,8
Robert Guillaume,,,8
Moira Kelly,,,8
Rowan Atkinson,,,8
Madge Sinclair,,,8
Niketa Calame,,,8
Zoe Leader,,,8
Vincent Cassel,,,18
Val Bettin,,,18
Kathleen Freeman,,,18
Dileep Rao,,,13
Leonardo DiCaprio,,,21
Ellen Page,,,20
Ken Watanabe,,,20
Tom Berenger,,,20
Pete Postlethwaite,,,23
Lukas Haas,,,20
Yuji Okumoto,,,20
Talulah Riley,,,20
Jesse Eisenberg,,,19
Leslie Mann,,,19
Will.i.am,,,19
Jamie Foxx,,,19
Jake T. Austin,,,19
Rodrigo Santoro,,,19
Tracy Morgan,,,19
Wanda Sykes,,,19
Carlos Ponce,,,19
Bernardo De Paula,,,19
Jane Lynch,,,19
Judah Friedlander,,,19
Eddie Jemison,,,20
Nora Dunn,,,20
Lisa Ann Walter,,,20
Catherine Bell,,,20
Philip Baker Hall,,,20
Jennifer Aniston,,,20
Jim Carrey,,,20
Sally Kirkland,,,20
Tony Bennett,,,20
Paul Satterfield,,,20
Justin Chatwin,,,20
Tim Robbins,,,20
Rick Gonzalez,,,20
Ann Robinson,,,20
Gene Barry,,,20
David Alan Basche,,,20
Ricky Luna,,,20
Amy Ryan,,,20
Columbus Short,,,20
Ty Simpkins,,,20
John Leguizamo,,,19
Eunice Cho,,,19
Karen Disher,,,19
Maile Flanagan,,,19
Ray Romano,,,19
Josh Peck,,,19
Seann William Scott,,,19
Queen Latifah,,,19
Chris Wedge,,,19
Simon Pegg,,,19
Lucas Leguizamo,,,19
Clea Lewis,,,19
Allegra Leguizamo,,,19
Al Roker,,,18
Meredith Vieira,,,18
Robert De Niro,,,8
Barbra Streisand,,,8
Blythe Danner,,,8
Teri Polo,,,8
Alanna Ubach,,,8
Ray Santiago,,,8
Tim Blake Nelson,,,8
Shelley Berman,,,8
Kali Rocha,,,8
Sherri Shepherd,,,18
Alec Baldwin,,,18
Elisa Gabrielli,,,18
Fergie,,,18
Zachary Gordon,,,18
Tom Sizemore,,,13
Edward Burns,,,13
Barry Pepper,,,13
Adam Goldberg,,,13
Giovanni Ribisi,,,13
Jeremy Davies,,,13
Matt Damon,,,13
Ted Danson,,,13
Paul Giamatti,,,13
Dennis Farina,,,13
Joerg Stadler,,,13
Max Martini,,,13
Dylan Bruno,,,13
Ian Porter,,,13
Adam Shaw,,,13
Rolf Saxon,,,13
Nathan Fillion,,,13
Bryan Cranston,,,13
Haley Joel Osment,,,10
Siobhan Fallon,,,10
Michael Conner Humphreys,,,10
Robin Wright,,,10
Gary Sinise,,,10
Mykelti Williamson,,,10
Harold Herthum,,,10
Hanna R. Hall,,,10
Geoffrey Blake,,,10
Peter Dobson,,,10
Sonny Shroyer,,,10
Sam Anderson,,,10
Kurt Russell,,,10
Mila Kunis,,,16
Mark Wahlberg,,,16
Seth MacFarlane,,,16
Patrick Warburton,,,16
Laura Vandervoort,,,16
Jessica Stroup,,,16
Wes Studi,,,13
Sam Worthington,,,13
Sigourney Weaver,,,13
Stephen Lang,,,13
Michelle Rodriguez,,,13
Joel Moore,,,13
CCH Pounder,,,13
Laz Alonso,,,13
Scott Lawrence,,,13
Peter Mensah,,,13
Cary Elwes,,,21
Jami Gertz,,,21
Philip Seymour Hoffman,,,21
Lois Smith,,,21
Bill Paxton,,,21
Alan Ruck,,,21
Sean Whalen,,,21
Scott Thomson,,,21
Todd Field,,,21
Joey Slotnick,,,21
Helen Hunt,,,21
Zach Grenier,,,21
Gregory Sporleder,,,21
Richard Lineback,,,21
Alexa Vega,,,21
Larry King,,,18
Regis Philbin,,,18
Antonio Banderas,,,18
Jon Hamm,,,18
Craig Robinson,,,18
Walt Dohrn,,,18
Lake Bell,,,18
Kathy Griffin,,,18
Ryan Seacrest,,,18
Kelly LeBrock,,,22
Robert Davi,,,22
Gideon Emery,,,22
Byron Taylor,,,22
Toni Collette,,,10
Olivia Williams,,,10
Donnie Wahlberg,,,10
Mischa Barton,,,10
Glenn Fitzgerald,,,10
Angelica Torn,,,10
Trevor Morgan,,,10
M. Night Shyamalan,,,10
Peter Anthony Tambakis,,,10
Firdous Bamji,,,10
River Phoenix,,,4
Alison Doody,,,4
Sean Connery,,,4
Denholm Elliott,,,4
Sergio Calderón,,,23
Danny DeVito,,,23
Mike Nussbaum,,,23
Vincent D'Onofrio,,,23
Steven Spielberg,,,23
Keith Campbell,,,23
Sylvester Stallone,,,23
George Lucas,,,23
Linda Fiorentino,,,23
Fredric Lehne,,,23
Carel Struycken,,,23
Vince Vaughn,,,23
Richard Dreyfuss,,,23
Roy Scheider,,,23
Robert Shaw,,,23
Lorraine Gary,,,23
Murray Hamilton,,,23
Carl Gottlieb,,,23
Jeffrey Kramer,,,23
Susan Backlinie,,,23
Chris Rebello,,,23
Jay Mello,,,23
Craig Kingsbury,,,23
Julianne Moore,,,23
Arliss Howard,,,23
Vanessa Lee Chester,,,23
Harvey Jason,,,23
Richard Schiff,,,23
Thomas F. Duffy,,,23
"Thomas Rosales, Jr.",,,23
Camilla Belle,,,23
Eli Roth,,,23
Vivica A. Fox,,,23
Bill Pullman,,,23
Mary McDonnell,,,23
Judd Hirsch,,,23
Robert Loggia,,,23
Randy Quaid,,,23
Margaret Colin,,,23
James Rebhorn,,,23
Harvey Fierstein,,,23
Adam Baldwin,,,23
Brent Spiner,,,23
James Duval,,,23
Lisa Jakub,,,23
Giuseppe Andrews,,,23
"Harry Connick, Jr.",,,23
Devon Gummersall,,,23
Leland Orser,,,23
Mae Whitman,,,23
Daniel Stern,,,24
Roberts Blossom,,,24
John Candy,,,24
Angela Goethals,,,24
Devin Ratray,,,24
Larry Hankin,,,24
Hillary Wolf,,,24
Gerry Bamman,,,24
Kieran Culkin,,,24
John Heard,,,24
Macaulay Culkin,,,24
Joe Pesci,,,24
Catherine O'Hara,,,24
Sergio Rubini,,,14
James Caviezel,,,14
Maia Morgenstern,,,14
Christo Jivkov,,,14
Mattia Sbragia,,,14
Toni Bertorelli,,,14
Luca Lionello,,,14
Hristo Shopov,,,14
Claudia Gerini,,,14
