Source,Target,Weight
Jim Norton,Del Henney,7.4
Jim Norton,Ken Hutchison,7.4
Jim Norton,David Warner,7.4
Jim Norton,Susan George,7.4
Jim Norton,Dustin Hoffman,7.4
Jim Norton,T. P. McKenna,7.4
Jim Norton,Sally Thomsett,7.4
Jim Norton,Peter Vaughan,7.4
Del Henney,Ken Hutchison,7.4
Del Henney,David Warner,7.4
Del Henney,Susan George,7.4
Del Henney,Dustin Hoffman,7.4
Del Henney,T. P. McKenna,7.4
Del Henney,Sally Thomsett,7.4
Del Henney,Peter Vaughan,7.4
Ken Hutchison,David Warner,7.4
Ken Hutchison,Susan George,7.4
Ken Hutchison,Dustin Hoffman,7.4
Ken Hutchison,T. P. McKenna,7.4
Ken Hutchison,Sally Thomsett,7.4
Ken Hutchison,Peter Vaughan,7.4
David Warner,Susan George,7.4
David Warner,Dustin Hoffman,7.4
David Warner,T. P. McKenna,7.4
David Warner,Sally Thomsett,7.4
David Warner,Peter Vaughan,7.4
David Warner,Kate Winslet,7.9
David Warner,Kathy Bates,7.9
David Warner,Victor Garber,7.9
David Warner,Bill Paxton,7.9
David Warner,Billy Zane,7.9
David Warner,Leonardo DiCaprio,7.9
David Warner,Frances Fisher,7.9
David Warner,Bernard Hill,7.9
David Warner,Danny Nucci,7.9
David Warner,Gloria Stuart,7.9
David Warner,Jonathan Hyde,7.9
David Warner,Suzy Amis,7.9
David Warner,Nicholas Cascone,7.9
David Warner,Jason Barry,7.9
David Warner,Ewan Stewart,7.9
David Warner,Ioan Gruffudd,7.9
David Warner,Jonathan Phillips,7.9
David Warner,Eric Braeden,7.9
David Warner,Bernard Fox,7.9
David Warner,James Cameron,7.9
Susan George,Dustin Hoffman,7.4
Susan George,T. P. McKenna,7.4
Susan George,Sally Thomsett,7.4
Susan George,Peter Vaughan,7.4
Dustin Hoffman,T. P. McKenna,7.4
Dustin Hoffman,Sally Thomsett,7.4
Dustin Hoffman,Peter Vaughan,7.4
Dustin Hoffman,John Hurt,7.5
Dustin Hoffman,Harry Dean Stanton,7.4
Dustin Hoffman,Minnie Driver,14.8
Dustin Hoffman,Kelly Macdonald,7.7
Dustin Hoffman,Beth Grant,8.0
Dustin Hoffman,Gerald R. Molen,8.0
Dustin Hoffman,Jack Murdock,8.0
Dustin Hoffman,Bonnie Hunt,8.0
Dustin Hoffman,Michael D. Roberts,8.0
Dustin Hoffman,Lucinda Jenney,8.0
Dustin Hoffman,Valeria Golino,8.0
Dustin Hoffman,Tom Cruise,8.0
Dustin Hoffman,Robert De Niro,7.5
Dustin Hoffman,Sydney Pollack,7.4
Dustin Hoffman,Ned Beatty,7.9
Dustin Hoffman,Emma Thompson,7.6
Dustin Hoffman,Billy Crudup,7.5
Dustin Hoffman,Will Ferrell,7.6
Dustin Hoffman,T.J. Jagodowski,7.6
Dustin Hoffman,Peter Grosz,7.6
Dustin Hoffman,Christian Stolte,7.6
Dustin Hoffman,Tony Hale,7.6
Dustin Hoffman,Maggie Gyllenhaal,7.6
Dustin Hoffman,Queen Latifah,7.6
Dustin Hoffman,Tom Hulce,7.6
Dustin Hoffman,Bruce Jarchow,7.6
Dustin Hoffman,Linda Hunt,7.6
Dustin Hoffman,Kristin Chenoweth,7.6
Dustin Hoffman,Frank Caeti,7.6
Dustin Hoffman,Andrew Rothenberg,7.6
Dustin Hoffman,Todd Field,7.6
Dustin Hoffman,Mackenzie Astin,7.6
Dustin Hoffman,Steve McQueen,8.0
Dustin Hoffman,Kate Winslet,7.7
Dustin Hoffman,M. Emmet Walsh,15.2
Dustin Hoffman,Theresa Russell,7.4
Dustin Hoffman,Gary Busey,7.4
Dustin Hoffman,Kathy Bates,7.4
Dustin Hoffman,Edward Bunker,7.4
Dustin Hoffman,David Kelly,7.4
Dustin Hoffman,Sandy Baron,7.4
Dustin Hoffman,Fran Ryan,7.4
Dustin Hoffman,Jake Busey,7.4
Dustin Hoffman,Rita Taggart,7.4
