Source,Target,Weight
Frank Krog,Kristin Kajander,700.059566
Frank Krog,Vidar Sandem,700.059566
Frank Krog,Anne Krigsvoll,700.059566
Kristin Kajander,Vidar Sandem,700.059566
Kristin Kajander,Anne Krigsvoll,700.059566
Vidar Sandem,Anne Krigsvoll,700.059566
Gudrun Landgrebe,Mathieu Carrière,659.363944
Gudrun Landgrebe,Hanns Zischler,659.363944
Mathieu Carrière,Hanns Zischler,659.363944
Juzo Itami,Meiko Kaji,504.014165
Juzo Itami,Yoshio Harada,504.014165
Juzo Itami,Kazuko Yoshiyuki,504.014165
Juzo Itami,Shin Kishida,504.014165
Meiko Kaji,Yoshio Harada,504.014165
Meiko Kaji,Kazuko Yoshiyuki,504.014165
Meiko Kaji,Shin Kishida,504.014165
Yoshio Harada,Kazuko Yoshiyuki,504.014165
Yoshio Harada,Shin Kishida,504.014165
Kazuko Yoshiyuki,Shin Kishida,504.014165
John Cusack,Amanda Peet,769.679473
John Cusack,Chiwetel Ejiofor,769.679473
John Cusack,Thandie Newton,769.679473
John Cusack,Oliver Platt,769.679473
John Cusack,Thomas McCarthy,769.679473
John Cusack,Woody Harrelson,769.679473
John Cusack,Danny Glover,769.679473
John Cusack,George Segal,769.679473
John Cusack,Morgan Lily,769.679473
John Cusack,Liam James,769.679473
John Cusack,Zlatko Buric,769.679473
John Cusack,Beatrice Rosen,769.679473
John Cusack,Johann Urb,769.679473
John Cusack,Patrick Bauchau,769.679473
John Cusack,John Billingsley,769.679473
John Cusack,Jimi Mistry,769.679473
John Cusack,Stephen McHattie,769.679473
John Cusack,Chin Han,769.679473
John Cusack,Yangzom Brauen,769.679473
John Cusack,Ric Govea,769.679473
Amanda Peet,Chiwetel Ejiofor,769.679473
Amanda Peet,Thandie Newton,769.679473
Amanda Peet,Oliver Platt,769.679473
Amanda Peet,Thomas McCarthy,769.679473
Amanda Peet,Woody Harrelson,769.679473
Amanda Peet,Danny Glover,769.679473
Amanda Peet,George Segal,769.679473
Amanda Peet,Morgan Lily,769.679473
Amanda Peet,Liam James,769.679473
Amanda Peet,Zlatko Buric,769.679473
Amanda Peet,Beatrice Rosen,769.679473
Amanda Peet,Johann Urb,769.679473
Amanda Peet,Patrick Bauchau,769.679473
Amanda Peet,John Billingsley,769.679473
Amanda Peet,Jimi Mistry,769.679473
Amanda Peet,Stephen McHattie,769.679473
Amanda Peet,Chin Han,769.679473
Amanda Peet,Yangzom Brauen,769.679473
Amanda Peet,Ric Govea,769.679473
Chiwetel Ejiofor,Thandie Newton,769.679473
Chiwetel Ejiofor,Oliver Platt,769.679473
Chiwetel Ejiofor,Thomas McCarthy,769.679473
Chiwetel Ejiofor,Woody Harrelson,769.679473
Chiwetel Ejiofor,Danny Glover,769.679473
Chiwetel Ejiofor,George Segal,769.679473
Chiwetel Ejiofor,Morgan Lily,769.679473
Chiwetel Ejiofor,Liam James,769.679473
Chiwetel Ejiofor,Zlatko Buric,769.679473
Chiwetel Ejiofor,Beatrice Rosen,769.679473
Chiwetel Ejiofor,Johann Urb,769.679473
Chiwetel Ejiofor,Patrick Bauchau,769.679473
